ApplicationDate,Age,AnnualIncome,CreditScore,EducationLevel,Experience,LoanAmount,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,MonthlyIncome,NetWorth,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
30-01-2018,36,60227,576,Bachelor,14,25264,Own,458,0.278275343,0.144112682,Home,5391,1993,141168,5018.916667,105395,0.239128971,622.0190933,0.215189684,1,36.8
31-01-2018,32,23861,592,High School,10,19570,Other,521,0.232777306,0.223711225,Auto,3348,1072,85166,1988.416667,76539,0.197034892,724.3380618,0.62629633,0,55
01-02-2018,62,73843,667,Master,37,44668,Other,388,0.29595832,0.156913701,Home,17023,3352,56887,6153.583333,3068,0.234603328,1271.053755,0.26960775,0,62
02-02-2018,39,61099,559,Bachelor,19,10094,Mortgage,380,0.128351414,0.265219566,Auto,2987,1795,69823,5091.583333,46283,0.261050046,262.6701512,0.126222063,0,51
03-02-2018,27,15000,535,High School,4,11318,Mortgage,721,0.582754942,0.448384819,Home,4172,3835,303949,1250,290269,0.343594011,335.3986467,0.845118917,0,53
04-02-2018,49,34738,520,Associate,25,10166,Mortgage,388,0.566340205,0.314513811,Home,1767,2757,249298,2894.833333,238326,0.273933243,288.9598327,0.233851056,0,55
05-02-2018,25,85889,571,Bachelor,3,24186,Rent,870,0.331656765,0.050538644,Education,14921,1110,18899,7157.416667,13345,0.279617748,696.1364545,0.21881309,0,49
06-02-2018,42,78701,552,Associate,18,18326,Rent,482,0.188005301,0.071301978,Home,463,1585,170720,6558.416667,140566,0.218912351,505.0115503,0.150495402,1,36
07-02-2018,18,24914,604,Master,0,8015,Mortgage,327,0.376158795,0.64426586,Auto,2612,199,49999,2076.166667,41853,0.152812,278.9475811,0.291858833,1,45.6
08-02-2018,24,57231,508,Associate,0,35876,Rent,370,0.572203518,0.134740613,Auto,7737,242,214229,4769.25,140547,0.230468198,1150.799076,0.31887594,0,50
09-02-2018,42,163303,655,Bachelor,23,12850,Other,337,0.357969313,0.072959106,Debt Consolidation,3012,309,115322,13608.58333,97422,0.189531294,300.0461613,0.046812085,1,37.6
10-02-2018,48,38453,595,High School,26,30517,Own,560,0.382437705,0.103003265,Home,5165,1539,46352,3204.416667,42871,0.226230533,971.8230602,0.478034919,0,54
11-02-2018,42,99920,582,Bachelor,20,23363,Other,298,0.615080763,0.20583096,Debt Consolidation,991,288,27778,8326.666667,4209,0.175435686,2136.847993,0.292415692,1,44.8
12-02-2018,38,57860,591,High School,20,25576,Rent,159,0.144070321,0.074387032,Auto,2059,427,463089,4821.666667,437436,0.287654958,683.4043512,0.174712275,0,47
13-02-2018,36,30890,590,High School,16,10176,Own,289,0.213863749,0.124730217,Education,11162,249,43010,2574.166667,14676,0.176526645,506.3215206,0.308962714,0,53
14-02-2018,22,15561,500,High School,1,20169,Rent,346,0.104223771,0.374558377,Debt Consolidation,1929,1463,16965,1296.75,11052,0.2423903,793.8209078,0.878982771,0,55
15-02-2018,31,105957,530,High School,7,53987,Other,399,0.046450446,0.621059192,Auto,4218,208,165299,8829.75,95758,0.326750988,1718.377313,0.23980037,0,54
16-02-2018,34,82887,545,High School,13,20996,Other,471,0.374017043,0.151595948,Other,16502,1246,17748,6907.25,4958,0.279583208,571.7878723,0.150970049,0,50
17-02-2018,52,53555,631,Associate,31,29418,Own,221,0.257700044,0.147909138,Education,9902,1607,12300,4462.916667,2753,0.21766388,808.5905594,0.230699033,0,47
18-02-2018,44,105639,627,High School,20,20409,Rent,387,0.282174466,0.327078397,Home,3379,5476,165235,8803.25,142935,0.263740227,495.9515749,0.100298364,0,46
19-02-2018,18,58342,519,High School,0,10077,Mortgage,592,0.159214493,0.192869156,Debt Consolidation,5076,230,25120,4861.833333,9558,0.26069905,543.2493604,0.23350232,0,50
20-02-2018,43,121939,653,Doctorate,25,41215,Mortgage,220,0.532941404,0.244425123,Other,1365,4000,188167,10161.58333,185710,0.18464928,1220.726563,0.1417817,1,32.8
21-02-2018,35,16054,526,Associate,13,20612,Own,465,0.144362237,0.206533044,Education,4127,665,51140,1337.833333,39270,0.231663828,799.6733391,0.945314568,0,53
22-02-2018,31,36057,592,Associate,11,29501,Other,384,0.231684159,0.187428659,Home,2220,438,19637,3004.75,1500,0.214285281,1117.953612,0.499859759,0,51
23-02-2018,47,124086,631,High School,27,36798,Mortgage,713,0.224482289,0.339714475,Auto,3281,1704,32072,10340.5,10479,0.167651799,1815.227228,0.24449758,1,39.2
24-02-2018,52,272693,586,Bachelor,28,19717,Rent,278,0.372474725,0.270157502,Auto,801,1835,94338,22724.41667,88895,0.218114526,459.5963315,0.032458318,1,38.4
25-02-2018,51,48757,615,Bachelor,27,16173,Mortgage,817,0.210713971,0.305376717,Debt Consolidation,21739,266,39354,4063.083333,3120,0.221322805,380.1899402,0.2946506,0,52
26-02-2018,29,31683,498,Associate,5,10566,Other,183,0.443554106,0.090370619,Debt Consolidation,30896,2581,278821,2640.25,154938,0.209471438,542.6665153,0.274847653,0,48
27-02-2018,36,69003,499,Associate,11,5376,Mortgage,458,0.367662789,0.174379819,Auto,983,1153,37496,5750.25,13502,0.248414968,129.3875731,0.102149919,1,42.4
28-02-2018,43,72408,616,Bachelor,18,23181,Rent,803,0.234654441,0.365438817,Debt Consolidation,3815,305,22524,6034,5786,0.2522172,771.4847976,0.260935498,0,63
01-03-2018,51,105087,653,Master,33,48331,Mortgage,772,0.116999562,0.180557546,Auto,21204,2121,201313,8757.25,142052,0.273712499,1208.153325,0.226115884,0,44
02-03-2018,34,15000,607,Master,11,26412,Own,468,0.031266607,0.350112392,Home,2232,2085,234374,1250,223211,0.276450517,685.4486807,0.922758945,0,48
03-03-2018,37,38513,600,High School,16,21225,Rent,373,0.518635366,0.168435829,Education,1458,340,44836,3209.416667,16183,0.231104163,681.5771431,0.328588417,0,52
04-03-2018,26,77555,527,Bachelor,5,22854,Rent,499,0.095479571,0.188278148,Education,8710,691,39027,6462.916667,29447,0.199930067,849.255101,0.208614031,1,39.2
05-03-2018,25,15000,576,High School,1,18177,Mortgage,528,0.273312263,0.236083226,Home,5689,1111,99036,1250,1077,0.219854905,572.5428041,0.880434243,0,57
06-03-2018,49,24973,611,Bachelor,30,17466,Own,336,0.280081587,0.414994447,Auto,3167,1547,44944,2081.083333,14823,0.221443098,551.6544409,0.426534789,0,55
07-03-2018,56,18248,574,Associate,37,16443,Own,733,0.283474182,0.063628336,Home,2682,548,204131,1520.666667,192648,0.173698456,815.9042462,1.018569211,0,48
08-03-2018,39,67367,615,Associate,15,26889,Mortgage,317,0.007965918,0.46591212,Debt Consolidation,8241,5430,115099,5613.916667,99087,0.1715112,777.9871225,0.195048696,1,42.4
09-03-2018,52,32418,647,Bachelor,29,32208,Rent,447,0.413401982,0.318759767,Auto,2926,533,326015,2701.5,313319,0.1507094,2908.11798,1.241946319,0,50
10-03-2018,44,26879,649,Bachelor,21,20313,Rent,562,0.4332425,0.219649579,Home,4029,3740,94575,2239.916667,71090,0.198963951,536.9999395,0.490643226,0,50
11-03-2018,32,54128,620,Bachelor,11,20676,Mortgage,322,0.263498947,0.100135921,Home,4943,388,92000,4510.666667,87804,0.177753037,745.1584242,0.236585521,1,36.8
12-03-2018,44,19924,535,High School,20,21767,Mortgage,495,0.245326014,0.384352371,Education,21032,1679,22711,1660.333333,14660,0.2991204,782.629287,0.769501679,0,56
13-03-2018,58,90788,672,Bachelor,34,18243,Mortgage,153,0.297925723,0.146633465,Debt Consolidation,1980,1139,13542,7565.666667,5911,0.140428569,623.8822991,0.10268524,1,34.4
14-03-2018,39,190445,619,Master,16,28894,Mortgage,304,0.263649139,0.012833162,Other,2857,956,154003,15870.41667,115773,0.214125306,1094.712989,0.08813335,1,33.6
15-03-2018,58,35372,612,High School,38,25313,Mortgage,424,0.291020376,0.404388836,Education,2811,3235,123931,2947.666667,119179,0.196999658,1284.618306,0.579651127,0,50
16-03-2018,18,15000,570,Associate,0,50226,Mortgage,537,0.208115531,0.226735283,Debt Consolidation,3575,3286,153676,1250,82198,0.228380006,1605.36257,1.713890056,0,58
17-03-2018,49,40829,617,Bachelor,25,25478,Mortgage,785,0.073220558,0.253745924,Auto,2267,1111,42122,3402.416667,34774,0.179312099,920.2117649,0.501176644,0,49
18-03-2018,41,58655,523,Associate,16,26493,Mortgage,206,0.415304422,0.175187563,Other,2003,1731,64414,4887.916667,22423,0.334440137,795.1657823,0.204824642,0,51
19-03-2018,36,68801,531,Bachelor,14,18652,Rent,1044,0.165515713,0.335232924,Auto,1810,630,446359,5733.416667,429421,0.2857824,777.3521551,0.317673084,0,53
20-03-2018,41,92731,619,Bachelor,19,31116,Rent,396,0.123051852,0.221117214,Home,3025,1004,11209,7727.583333,7629,0.215424503,972.6302006,0.17710973,0,50
21-03-2018,18,40050,545,Doctorate,0,112253,Rent,406,0.306127621,0.184527533,Home,1506,726,18390,3337.5,7672,0.358485696,4432.382784,1.449702707,0,64
22-03-2018,37,40784,618,Master,14,41465,Own,370,0.174326245,0.203760957,Home,21978,1394,197632,3398.666667,172083,0.292763473,1228.160165,0.470231512,0,45
23-03-2018,44,15000,588,High School,23,26563,Mortgage,378,0.308927643,0.298108408,Home,1357,2246,496594,1250,474038,0.209816068,822.2789888,0.960223191,0,48
24-03-2018,57,86699,615,Associate,39,7469,Rent,413,0.113761868,0.179135546,Home,1872,8480,36531,7224.916667,8130,0.198849737,197.405087,0.084486108,1,36
25-03-2018,33,17676,540,Associate,8,17801,Own,226,0.153094569,0.355642791,Debt Consolidation,8380,1994,70945,1473,48674,0.243880793,584.1709707,0.550014237,0,55
26-03-2018,30,42752,517,High School,4,14379,Rent,363,0.357778636,0.297587934,Auto,6094,1404,172820,3562.666667,146382,0.239661812,563.8738944,0.260162957,0,53
27-03-2018,33,29096,570,Associate,12,40138,Other,685,0.141297078,0.23944694,Debt Consolidation,1461,1471,86250,2424.666667,36237,0.248600622,2139.408949,1.16486484,0,53
28-03-2018,50,60992,663,Bachelor,30,24642,Rent,664,0.252637684,0.055588171,Home,4726,1723,52202,5082.666667,38852,0.216449288,771.6304126,0.282456141,0,44
29-03-2018,43,100032,524,Master,21,19105,Mortgage,824,0.106728644,0.226649868,Education,9197,302,49889,8336,45588,0.209684,516.5148903,0.160810328,1,49.6
30-03-2018,33,35882,620,Master,11,9259,Own,257,0.170245836,0.147593005,Home,3552,1162,61154,2990.166667,8266,0.200011478,281.7603872,0.180177377,0,47
31-03-2018,46,32781,623,High School,22,17468,Other,1180,0.087482384,0.093777322,Debt Consolidation,7428,2122,299192,2731.75,294254,0.232065323,494.5061264,0.612979272,0,41
01-04-2018,41,51707,585,Bachelor,18,20069,Rent,407,0.005922389,0.217388379,Home,3815,1252,24114,4308.916667,2253,0.268223329,563.2583043,0.225174534,0,52
02-04-2018,51,31251,596,Bachelor,30,66582,Rent,357,0.566448097,0.160169554,Home,2313,945,30153,2604.25,3276,0.24745644,3545.091047,1.498355015,0,61
03-04-2018,31,22359,524,High School,11,26889,Mortgage,216,0.221131696,0.455259931,Auto,24764,3578,131521,1863.25,84640,0.240713535,877.6917767,0.586980693,0,57
04-04-2018,36,152650,610,Associate,12,24815,Other,148,0.103056871,0.384307506,Home,4346,587,127009,12720.83333,37909,0.21351149,773.108261,0.072409428,1,38.4
05-04-2018,35,15120,562,Master,11,21849,Rent,423,0.515726666,0.238644521,Debt Consolidation,1874,1245,18522,1260,3825,0.244170701,544.9168705,0.768187992,0,58
06-04-2018,22,59830,570,Associate,0,22734,Rent,246,0.432399873,0.572327682,Debt Consolidation,2511,329,449345,4985.833333,435808,0.174626639,1129.080924,0.275797611,1,45.6
07-04-2018,43,55308,645,Doctorate,22,19539,Other,362,0.071558191,0.266209929,Debt Consolidation,5995,932,101618,4609,93747,0.1696312,434.2651669,0.172763108,1,36.8
08-04-2018,43,30948,601,Bachelor,17,25291,Mortgage,286,0.050951342,0.360348689,Auto,7167,291,99978,2579,78660,0.223307718,970.2078724,0.487091071,0,49
09-04-2018,40,56940,592,Associate,21,15752,Mortgage,213,0.425049983,0.117237585,Debt Consolidation,1349,634,97769,4745,64448,0.261601498,392.9661211,0.127706243,0,50
10-04-2018,37,44000,539,High School,13,28714,Rent,457,0.414182437,0.199994093,Home,5872,2939,331208,3666.666667,301790,0.244173748,833.0142733,0.351822075,0,46
11-04-2018,23,81554,509,High School,4,35101,Rent,519,0.357920901,0.29432355,Home,3233,1955,84421,6796.166667,69780,0.316512275,1093.628675,0.237285039,0,49
12-04-2018,34,26567,612,Bachelor,13,17339,Mortgage,194,0.087386093,0.065337074,Education,2738,512,55729,2213.916667,9625,0.232191325,490.9800293,0.309397386,0,48
13-04-2018,35,33569,596,Bachelor,9,37172,Mortgage,212,0.262914747,0.032588299,Home,2103,12534,56452,2797.416667,33106,0.224569569,1180.384964,0.497739568,0,52
14-04-2018,30,94238,608,Bachelor,6,15917,Own,203,0.164377527,0.458928082,Home,3382,7940,54668,7853.166667,41531,0.187632533,581.5503892,0.099902424,1,44
15-04-2018,38,45145,587,Bachelor,17,11431,Mortgage,879,0.126124946,0.297410249,Education,7060,2678,119670,3762.083333,93155,0.196131632,345.4978469,0.325483977,1,40
16-04-2018,44,70881,597,Master,23,34590,Rent,324,0.304031873,0.117077159,Home,2050,1136,3628,5906.75,1188,0.214166498,1078.870189,0.237502889,0,50
17-04-2018,62,105240,656,Associate,39,13937,Mortgage,391,0.248974565,0.198300231,Home,1960,2516,62442,8770,33814,0.229707857,306.3041271,0.079510163,0,55
18-04-2018,42,63709,517,Bachelor,18,22221,Mortgage,623,0.28385889,0.473213044,Auto,3930,136,80888,5309.083333,68037,0.265423641,756.0285458,0.259748898,0,57
19-04-2018,43,31713,487,Bachelor,18,38865,Rent,314,0.249955683,0.601057214,Auto,395,231,49718,2642.75,6605,0.286430461,1368.867256,0.636786399,0,64
20-04-2018,39,29900,536,High School,17,23396,Mortgage,589,0.103820671,0.185815459,Debt Consolidation,470,2353,23801,2491.666667,2585,0.299452038,703.0228597,0.518537603,0,54
21-04-2018,18,87673,608,Master,0,10667,Mortgage,725,0.221963021,0.385683147,Auto,1134,551,71561,7306.083333,66069,0.240020391,280.8415073,0.137671781,1,43.2
22-04-2018,39,55454,565,Bachelor,16,35551,Mortgage,1206,0.240673896,0.52638809,Auto,4159,1098,33268,4621.166667,5939,0.254148219,1421.31293,0.568538882,0,61
23-04-2018,40,40722,558,High School,18,31637,Own,269,0.172711393,0.143886778,Auto,9140,398,141270,3393.5,121086,0.302798547,840.5550283,0.326964794,0,47
24-04-2018,69,76571,680,Master,49,34173,Rent,407,0.158676837,0.2166189,Home,2220,3117,78008,6380.916667,72093,0.191127596,1023.811209,0.224232862,0,46
25-04-2018,37,22901,525,Master,14,18493,Rent,288,0.085922233,0.264111956,Auto,3120,3491,99630,1908.416667,89532,0.253403309,616.6902883,0.474052813,0,53
26-04-2018,43,49421,609,Bachelor,21,17161,Other,438,0.362115605,0.258787054,Debt Consolidation,10050,1546,17627,4118.416667,9540,0.258068076,470.8010354,0.220667579,0,51
27-04-2018,39,43507,611,Associate,16,31845,Rent,544,0.374989953,0.084789922,Home,1192,5407,30751,3625.583333,6480,0.265614,1083.810066,0.448978803,0,60
28-04-2018,25,41402,572,Doctorate,4,25900,Mortgage,419,0.111313557,0.092334724,Home,9920,6772,36312,3450.166667,4623,0.237735022,1013.053306,0.415067863,0,50
29-04-2018,53,37405,626,High School,30,15770,Mortgage,442,0.227953806,0.299644558,Debt Consolidation,14266,762,15028,3117.083333,4530,0.206105431,485.031636,0.297403546,0,56
30-04-2018,49,48399,564,Bachelor,29,19629,Rent,346,0.284553044,0.21451177,Home,993,1120,91813,4033.25,75230,0.264095006,666.3672619,0.251005334,0,51
01-05-2018,49,44775,574,High School,28,20270,Mortgage,228,0.153746573,0.1961324,Education,3070,1348,31257,3731.25,8511,0.219604327,638.1928593,0.23214549,0,51
02-05-2018,29,125711,580,Associate,7,12133,Own,543,0.456350646,0.214796498,Home,16833,1592,18425,10475.91667,8014,0.21812612,381.0299962,0.088205169,1,40.8
03-05-2018,56,15131,634,Master,30,25599,Rent,351,0.242600368,0.381070565,Home,2458,2915,73848,1260.916667,58703,0.228322593,818.1347931,0.927210199,0,59
04-05-2018,23,73576,603,Bachelor,0,12055,Other,491,0.010550359,0.249302105,Education,1924,600,50167,6131.333333,4647,0.175438646,433.0636692,0.1507117,1,41.6
05-05-2018,47,50345,602,Bachelor,22,18805,Mortgage,441,0.468299317,0.087930541,Home,13605,785,50714,4195.416667,47177,0.232486555,605.2927056,0.249389462,0,52
06-05-2018,66,56816,669,Associate,41,20719,Mortgage,288,0.32019893,0.076462014,Auto,8124,705,636666,4734.666667,621711,0.139414951,1859.728992,0.453617782,1,28.8
07-05-2018,28,34588,621,Master,0,18962,Mortgage,444,0.215344838,0.281664771,Debt Consolidation,8955,256,89846,2882.333333,78693,0.240947552,619.1897311,0.368864253,0,52
08-05-2018,33,55383,565,Associate,10,9093,Own,419,0.308094245,0.093625715,Auto,6607,1948,13714,4615.25,7531,0.23296114,292.9212285,0.154254099,1,40
09-05-2018,41,65180,551,High School,16,15086,Mortgage,323,0.262959229,0.189328507,Debt Consolidation,562,1662,64928,5431.666667,3079,0.232624658,390.4395277,0.131348179,1,40
10-05-2018,33,15000,523,Bachelor,8,13879,Rent,248,0.258464995,0.366896047,Auto,12973,290,27247,1250,21596,0.269063475,423.0232759,0.536818621,0,56
11-05-2018,21,149736,560,Associate,0,27917,Own,604,0.307627102,0.364732771,Auto,3003,2256,290530,12478,279531,0.208264443,861.8653947,0.117475989,1,37.6
12-05-2018,40,42717,585,High School,14,41561,Other,326,0.380083572,0.252630804,Home,489,759,48731,3559.75,37949,0.214000198,2143.813798,0.693816644,0,53
13-05-2018,27,66417,590,Master,5,9493,Mortgage,408,0.644568843,0.190629616,Home,2012,1060,112110,5534.75,87273,0.191983112,284.8361861,0.12517931,1,40
14-05-2018,45,22121,602,Bachelor,23,18805,Other,250,0.221027442,0.064124248,Home,667,2669,63386,1843.416667,56022,0.237957438,538.7544132,0.42787636,0,47
15-05-2018,28,37558,620,Master,5,18686,Rent,278,0.122147059,0.219745034,Education,4575,1163,9316,3129.833333,2660,0.227713505,524.3153018,0.256344417,0,49
16-05-2018,58,134691,621,Bachelor,36,16421,Rent,607,0.191641419,0.169401203,Home,1619,306,48831,11224.25,20839,0.198068674,834.2114896,0.128401585,1,40
17-05-2018,30,33101,539,High School,7,29824,Rent,358,0.18478734,0.163751052,Education,2548,1004,220116,2758.416667,211332,0.238971475,856.1962597,0.440178699,0,46
18-05-2018,36,44364,439,High School,10,5538,Mortgage,313,0.331444599,0.30184152,Other,2471,764,203672,3697,195449,0.256212502,222.0136238,0.144715614,1,40.8
19-05-2018,49,38596,499,Master,27,13078,Other,292,0.14825455,0.387717694,Debt Consolidation,1121,1118,40099,3216.333333,4304,0.255899355,524.0681506,0.253726236,0,60
20-05-2018,25,139954,439,High School,3,40858,Rent,293,0.172889807,0.448911039,Auto,427,1429,51633,11662.83333,45696,0.312445458,1500.854523,0.153809497,0,56
21-05-2018,42,53444,521,Bachelor,19,16462,Other,730,0.368490339,0.237526015,Auto,4608,638,44150,4453.666667,11955,0.288080282,520.6123709,0.280805113,0,55
22-05-2018,55,113523,643,High School,33,10990,Own,427,0.306019261,0.221712026,Auto,4279,2107,130005,9460.25,112469,0.203889021,293.551019,0.076166171,1,35.2
23-05-2018,20,31270,581,Bachelor,1,6624,Mortgage,151,0.464867466,0.092079081,Other,2857,478,78348,2605.833333,47138,0.173323616,605.1855616,0.290189534,0,58
24-05-2018,42,46717,520,High School,21,20915,Other,616,0.392678059,0.441898169,Auto,1085,2885,8920,3893.083333,3094,0.245702449,608.6245936,0.314564187,0,57
25-05-2018,43,56613,564,High School,19,25148,Mortgage,340,0.513658837,0.435346558,Home,4138,1730,226679,4717.75,179210,0.241327041,988.3808663,0.281570848,0,56
26-05-2018,49,86882,612,Bachelor,24,51374,Rent,380,0.11659762,0.225287113,Home,10374,565,45230,7240.166667,4755,0.277772588,1472.689201,0.255890408,0,47
27-05-2018,25,69876,598,Associate,5,17992,Rent,545,0.011470739,0.258154691,Debt Consolidation,915,506,19626,5823,12570,0.272305298,461.8554917,0.172910096,0,51
28-05-2018,24,32582,513,Bachelor,4,26598,Rent,231,0.462592067,0.146652255,Debt Consolidation,288,1263,32463,2715.166667,21485,0.272707952,816.4890482,0.385791805,0,55
29-05-2018,46,101562,612,Bachelor,23,30836,Mortgage,323,0.605553686,0.189514885,Education,7528,378,62262,8463.5,26110,0.236658705,754.401568,0.127299766,0,54
30-05-2018,43,24611,548,Bachelor,25,21110,Other,489,0.577459035,0.222317809,Education,10586,1352,190056,2050.916667,169077,0.247342383,1123.859894,0.786409278,0,54
31-05-2018,43,22390,594,Associate,21,17603,Own,389,0.15814493,0.399641944,Auto,612,293,24284,1865.833333,8633,0.292970668,454.9331165,0.45230895,0,55
01-06-2018,44,47430,605,Bachelor,25,32684,Mortgage,377,0.635142123,0.191575883,Debt Consolidation,673,505,57941,3952.5,25415,0.232355477,925.8059034,0.329615662,0,50
02-06-2018,31,57105,500,Master,6,24760,Rent,168,0.122225235,0.328967583,Home,2593,129,12750,4758.75,1632,0.268101331,1008.31193,0.247189268,0,53
03-06-2018,42,28751,536,Bachelor,21,30150,Own,343,0.411098167,0.338673753,Debt Consolidation,8298,2785,33961,2395.916667,13656,0.258890882,900.7265158,0.519102577,0,59
04-06-2018,43,43567,547,Bachelor,17,17390,Mortgage,308,0.143643784,0.265708642,Debt Consolidation,12906,4746,131041,3630.583333,119722,0.238016836,917.707995,0.337606352,0,48
05-06-2018,31,20113,575,Master,6,27214,Own,347,0.216274834,0.452728607,Other,4698,1891,99134,1676.083333,52656,0.226757609,1048.852878,0.832806371,0,60
06-06-2018,62,52633,682,Master,41,13197,Own,347,0.22060986,0.17797028,Auto,4853,730,51962,4386.083333,6415,0.224554753,276.8821426,0.142241288,0,59
07-06-2018,45,93617,557,Associate,25,10868,Own,826,0.185208357,0.467310221,Home,3489,357,79807,7801.416667,25397,0.246893799,272.9321558,0.140863154,1,43.2
08-06-2018,25,34276,574,Doctorate,3,5163,Rent,365,0.306851243,0.198152855,Debt Consolidation,3141,42,38198,2856.333333,32248,0.251665486,125.3743364,0.17167966,0,51
